,datetime,source,Easting (m),Northing (m),TVD (m),MW,double_flag
107,2016-10-28 19:36:22.426,es,,,,,False
108,2016-10-28 19:42:58.828,es,,,,,False
109,2016-10-28 19:55:25.426,es,,,,,False
110,2016-10-28 20:33:24.718,es,,,,,False
111,2016-10-28 20:37:56.392,es,,,,,False
112,2016-10-28 20:53:02.000,srl,3300.0,5050.0,3868.0,-0.18,False
113,2016-10-28 20:53:41.694,es,,,,,False
114,2016-10-28 21:31:17.000,srl,3400.0,5100.0,3873.0,0.06,False
115,2016-10-28 21:45:52.336,es,,,,,False
116,2016-10-28 21:46:19.822,es,,,,,False
117,2016-10-28 22:06:39.850,es,,,,,False
118,2016-10-28 22:21:19.952,es,,,,,False
119,2016-10-28 22:48:40.260,es,,,,,False
120,2016-10-28 23:44:33.634,es,,,,,False
121,2016-10-28 23:55:47.714,es,,,,,False
122,2016-10-29 00:33:47.426,es,,,,,False
123,2016-10-29 00:54:10.390,es,,,,,False
124,2016-10-29 00:54:20.200,es,,,,,False
125,2016-10-29 00:56:10.670,es,,,,,False
126,2016-10-29 01:09:09.276,es,,,,,False
127,2016-10-29 02:20:21.996,es,,,,,False
128,2016-10-29 02:21:16.814,es,,,,,False
129,2016-10-29 03:11:48.052,es,,,,,False
130,2016-10-29 03:32:08.268,es,,,,,False
131,2016-10-29 03:32:18.698,es,,,,,False
132,2016-10-29 03:50:25.684,es,,,,,False
133,2016-10-29 03:58:25.714,es,,,,,False
134,2016-10-29 03:59:02.000,srl,3300.0,5100.0,4037.0,-0.08,False
135,2016-10-29 03:59:18.106,es,,,,,False
136,2016-10-29 04:01:00.990,es,,,,,False
137,2016-10-29 04:02:49.494,es,,,,,False
138,2016-10-29 04:44:18.000,srl,3389.0,4999.0,3738.0,-0.08,False
139,2016-10-29 05:13:43.314,es,,,,,False
140,2016-10-29 05:36:05.000,srl,3241.0,4914.0,3571.0,-0.31,False
141,2016-10-29 06:56:36.004,es,,,,,False
142,2016-10-29 07:30:21.330,es,,,,,False
143,2016-10-29 07:33:20.000,srl,3400.0,5050.0,2724.0,0.0,False
144,2016-10-29 07:34:48.068,es,,,,,False
145,2016-10-29 08:08:56.644,es,,,,,False
146,2016-10-29 08:12:04.000,srl,3241.0,4909.0,3575.0,-0.22,False
147,2016-10-29 08:12:56.000,srl,3299.0,5070.0,4004.0,-0.02,False
148,2016-10-29 08:17:05.720,es,,,,,False
149,2016-10-29 08:54:56.000,srl,3276.0,5013.0,3777.0,0.16,False
150,2016-10-29 09:42:55.372,es,,,,,False
151,2016-10-29 10:25:17.000,srl,3300.0,5000.0,3733.0,0.25,False
152,2016-10-29 11:09:42.476,es,,,,,False
153,2016-10-29 11:44:15.000,srl,3400.0,5050.0,3819.0,-0.01,False
154,2016-10-29 11:58:08.842,es,,,,,False
155,2016-10-29 11:58:20.432,es,,,,,False
156,2016-10-29 12:43:59.352,es,,,,,False
157,2016-10-29 12:44:16.122,es,,,,,False
158,2016-10-29 13:20:58.206,es,,,,,False
159,2016-10-29 13:22:04.752,es,,,,,False
160,2016-10-29 13:24:49.416,es,,,,,False
161,2016-10-29 13:33:23.532,es,,,,,False
162,2016-10-29 13:41:46.588,es,,,,,False
163,2016-10-29 14:11:00.888,es,,,,,False
164,2016-10-29 14:11:04.970,es,,,,,False
165,2016-10-29 14:39:13.686,es,,,,,False
166,2016-10-29 15:03:40.000,srl,3300.0,5050.0,3933.0,-0.17,False
167,2016-10-29 16:04:08.588,es,,,,,False
168,2016-10-29 16:09:18.468,es,,,,,False
169,2016-10-29 16:54:47.000,srl,3386.0,5005.0,3653.0,-0.04,False
170,2016-10-29 16:59:25.232,es,,,,,False
171,2016-10-29 17:11:07.416,es,,,,,False
172,2016-10-29 18:00:32.636,es,,,,,False
173,2016-10-29 18:17:32.970,es,,,,,False
174,2016-10-29 19:11:26.486,es,,,,,False
175,2016-10-29 19:12:11.042,es,,,,,False
176,2016-10-29 19:46:48.472,es,,,,,False
177,2016-10-29 19:55:00.156,es,,,,,False
178,2016-10-29 20:19:35.614,es,,,,,False
179,2016-10-29 21:04:17.000,srl,3300.0,5100.0,4040.0,-0.06,False
180,2016-10-29 21:51:18.056,es,,,,,False
181,2016-10-29 21:51:33.000,srl,3300.0,5050.0,3864.0,0.06,False
182,2016-10-29 21:52:19.138,es,,,,,False
183,2016-10-29 22:24:24.646,es,,,,,False
184,2016-10-29 23:29:43.000,srl,3299.0,5058.0,3803.0,0.05,False
185,2016-10-29 23:35:04.000,srl,3300.0,5000.0,3693.0,0.17,False
186,2016-10-30 00:30:52.254,es,,,,,False
187,2016-10-30 00:31:20.882,es,,,,,False
188,2016-10-30 01:12:20.632,es,,,,,False
189,2016-10-30 01:34:11.728,es,,,,,False
190,2016-10-30 01:35:59.108,es,,,,,False
191,2016-10-30 02:26:38.512,es,,,,,False
192,2016-10-30 02:27:59.778,es,,,,,False
193,2016-10-30 03:00:12.228,es,,,,,False
194,2016-10-30 03:07:45.534,es,,,,,False
195,2016-10-30 04:07:47.324,es,,,,,False
196,2016-10-30 04:07:52.790,es,,,,,False
197,2016-10-30 04:07:59.452,es,,,,,False
198,2016-10-30 04:08:33.378,es,,,,,False
199,2016-10-30 04:37:55.242,es,,,,,False
200,2016-10-30 05:10:52.634,es,,,,,False
201,2016-10-30 05:22:42.394,es,,,,,False
202,2016-10-30 06:52:14.030,es,,,,,False
203,2016-10-30 07:26:33.598,es,,,,,False
204,2016-10-30 07:58:18.458,es,,,,,False
205,2016-10-30 08:13:00.854,es,,,,,False
206,2016-10-30 08:40:00.000,srl,3350.0,5100.0,3939.0,-0.1,False
207,2016-10-30 08:40:58.768,es,,,,,False
