datetime,visible_event,processed
2016-10-26 03:01:10.486,22,False
2016-10-26 03:03:56.320,22,False
2016-10-26 07:54:25.904,21,False
2016-10-26 09:40:43.214,22,False
2016-10-26 10:42:51.714,22,False
2016-10-26 15:42:19.188,21,False
2016-10-26 19:33:12.400,22,False
2016-10-26 22:33:55.076,21,False
2016-10-26 23:29:56.608,22,False
2016-10-26 03:01:10.486,22,False
2016-10-26 03:03:56.320,22,False
2016-10-26 07:54:25.904,21,False
2016-10-26 09:40:43.214,22,False
2016-10-26 10:42:51.714,22,False
2016-10-26 15:42:19.188,21,False
2016-10-26 19:33:12.400,22,False
2016-10-26 22:33:55.076,21,False
2016-10-26 23:29:56.608,22,False
2016-10-27 01:05:45.364,22,False
2016-10-27 02:22:46.468,21,False
2016-10-27 02:52:32.018,21,False
2016-10-27 04:40:13.484,21,False
2016-10-27 04:40:26.780,21,False
2016-10-27 05:05:29.972,21,False
2016-10-27 05:41:13.752,1,False
2016-10-27 05:48:23.216,3,False
2016-10-27 05:48:59.756,21,False
2016-10-27 07:26:17.662,21,False
2016-10-27 07:51:53.572,21,False
2016-10-27 08:03:17.792,22,False
2016-10-27 09:06:17.980,22,False
2016-10-27 09:30:35.726,22,False
2016-10-27 10:17:05.452,1,False
2016-10-27 10:39:47.478,21,False
2016-10-27 10:46:00.476,1,False
2016-10-27 10:46:08.278,21,False
2016-10-27 10:51:53.962,1,False
2016-10-27 10:52:25.888,21,False
2016-10-27 10:58:32.198,3,False
2016-10-27 11:03:12.042,21,False
2016-10-27 11:08:42.078,22,False
2016-10-27 11:31:03.660,1,False
2016-10-27 11:35:39.812,1,False
2016-10-27 11:43:11.398,21,False
2016-10-27 11:43:19.254,21,False
2016-10-27 11:43:21.254,21,False
2016-10-27 11:43:41.672,1,False
2016-10-27 11:46:15.684,21,False
2016-10-27 12:01:24.292,21,False
2016-10-27 12:14:43.114,1,False
2016-10-27 12:26:16.862,1,False
2016-10-27 12:46:24.788,1,False
2016-10-27 13:30:12.714,1,False
2016-10-27 14:56:46.770,1,False
2016-10-27 15:44:13.274,1,False
