,datetime,source,Easting (m),Northing (m),TVD (m),MW,double_flag
94,2016-10-28 21:01:17.000,srl,3336.0,4929.0,3583.0,0.04,True
95,2016-10-28 21:01:17.856,es,,,,,True
96,2016-10-28 21:45:37.000,srl,3411.0,5089.0,3537.0,-0.02,True
97,2016-10-28 21:45:37.064,es,,,,,True
98,2016-10-29 00:08:25.000,srl,3316.0,4934.0,3599.0,-0.18,True
99,2016-10-29 00:08:25.176,es,,,,,True
100,2016-10-29 03:50:03.000,srl,3231.0,4914.0,3580.0,-0.09,True
101,2016-10-29 03:50:03.374,es,,,,,True
102,2016-10-29 04:20:19.000,srl,3336.0,4919.0,3580.0,-0.07,True
103,2016-10-29 04:20:19.126,es,,,,,True
104,2016-10-29 05:44:36.000,srl,3246.0,4919.0,3627.0,0.02,True
105,2016-10-29 05:44:36.188,es,,,,,True
106,2016-10-29 05:59:30.000,srl,3416.0,5089.0,3568.0,0.04,True
107,2016-10-29 05:59:30.176,es,,,,,True
108,2016-10-29 06:19:51.000,srl,3246.0,4919.0,3562.0,0.05,True
109,2016-10-29 06:19:51.444,es,,,,,True
110,2016-10-29 08:33:56.000,srl,3246.0,4919.0,3589.0,0.3,True
111,2016-10-29 08:33:56.802,es,,,,,True
112,2016-10-29 08:34:25.000,srl,3281.0,4879.0,3523.0,-0.15,True
113,2016-10-29 08:34:25.350,es,,,,,True
114,2016-10-29 09:30:46.000,srl,3326.0,4939.0,3584.0,0.12,True
115,2016-10-29 09:30:46.412,es,,,,,True
116,2016-10-29 09:45:46.000,srl,3246.0,4919.0,3593.0,-0.05,True
117,2016-10-29 09:45:47.032,es,,,,,True
118,2016-10-29 10:11:18.000,srl,3301.0,4899.0,3570.0,0.25,True
119,2016-10-29 10:11:18.402,es,,,,,True
120,2016-10-29 10:25:41.000,srl,3241.0,4924.0,3572.0,0.0,True
121,2016-10-29 10:25:41.232,es,,,,,True
122,2016-10-29 11:34:16.000,srl,3380.0,4888.0,3487.0,-0.04,True
123,2016-10-29 11:34:16.108,es,,,,,True
124,2016-10-29 12:44:10.000,srl,3241.0,4924.0,3604.0,0.08,True
125,2016-10-29 12:44:10.392,es,,,,,True
126,2016-10-29 13:37:22.000,srl,3241.0,4924.0,3599.0,-0.1,True
127,2016-10-29 13:37:22.228,es,,,,,True
128,2016-10-29 14:11:40.000,srl,3241.0,4924.0,3588.0,-0.12,True
129,2016-10-29 14:11:40.850,es,,,,,True
130,2016-10-29 15:28:15.000,srl,3246.0,4919.0,3593.0,-0.03,True
131,2016-10-29 15:28:15.466,es,,,,,True
132,2016-10-29 15:29:18.000,srl,3241.0,4924.0,3569.0,0.08,True
133,2016-10-29 15:29:18.026,es,,,,,True
134,2016-10-29 16:38:48.000,srl,3341.0,4929.0,3572.0,-0.05,True
135,2016-10-29 16:38:48.258,es,,,,,True
136,2016-10-29 17:02:02.000,srl,3241.0,4924.0,3587.0,0.23,True
137,2016-10-29 17:02:02.152,es,,,,,True
138,2016-10-29 17:21:12.000,srl,3450.0,5000.0,2828.0,-0.26,True
139,2016-10-29 17:21:13.218,es,,,,,True
140,2016-10-29 18:17:17.000,srl,3216.0,4910.0,3542.0,0.01,True
141,2016-10-29 18:17:17.652,es,,,,,True
142,2016-10-29 18:51:27.000,srl,3231.0,4939.0,3688.0,-0.16,True
143,2016-10-29 18:51:27.876,es,,,,,True
144,2016-10-29 19:41:41.966,es,,,,,True
145,2016-10-29 19:41:42.000,srl,3326.0,4934.0,3618.0,0.1,True
146,2016-10-29 20:08:14.000,srl,3231.0,4924.0,3551.0,0.07,True
147,2016-10-29 20:08:14.330,es,,,,,True
148,2016-10-29 20:43:18.000,srl,3296.0,4894.0,3514.0,-0.09,True
149,2016-10-29 20:43:18.418,es,,,,,True
150,2016-10-29 21:04:40.000,srl,3251.0,4924.0,3558.0,-0.18,True
151,2016-10-29 21:04:40.430,es,,,,,True
152,2016-10-29 21:48:34.000,srl,3241.0,4924.0,3571.0,0.03,True
153,2016-10-29 21:48:34.206,es,,,,,True
154,2016-10-29 22:06:10.822,es,,,,,True
155,2016-10-29 22:06:11.000,srl,3331.0,4949.0,3592.0,-0.3,True
156,2016-10-29 22:49:44.000,srl,3251.0,4949.0,3613.0,0.04,True
157,2016-10-29 22:49:44.102,es,,,,,True
158,2016-10-29 23:29:04.000,srl,3241.0,4929.0,3563.0,0.26,True
159,2016-10-29 23:29:04.182,es,,,,,True
160,2016-10-30 03:07:39.938,es,,,,,True
161,2016-10-30 03:07:40.000,srl,3226.0,4904.0,3543.0,0.13,True
162,2016-10-30 03:45:40.000,srl,3311.0,4939.0,3544.0,-0.13,True
163,2016-10-30 03:45:40.088,es,,,,,True
164,2016-10-30 04:08:04.000,srl,3181.0,4850.0,3463.0,-0.15,True
165,2016-10-30 04:08:04.402,es,,,,,True
166,2016-10-30 05:06:50.000,srl,3251.0,4939.0,3629.0,0.06,True
167,2016-10-30 05:06:50.022,es,,,,,True
168,2016-10-30 07:03:29.000,srl,3251.0,4949.0,3575.0,-0.2,True
169,2016-10-30 07:03:30.056,es,,,,,True
170,2016-10-30 07:12:07.000,srl,3261.0,4969.0,3556.0,-0.15,True
171,2016-10-30 07:12:07.022,es,,,,,True
172,2016-10-30 07:59:26.000,srl,3381.0,5044.0,3585.0,-0.18,True
173,2016-10-30 07:59:26.414,es,,,,,True
174,2016-10-30 08:40:32.000,srl,3251.0,4944.0,3618.0,0.0,True
175,2016-10-30 08:40:32.690,es,,,,,True
176,2016-10-30 09:40:51.000,srl,3231.0,4934.0,3572.0,0.06,True
177,2016-10-30 09:40:51.752,es,,,,,True
178,2016-10-30 11:25:47.000,srl,3251.0,4949.0,3562.0,0.09,True
179,2016-10-30 11:25:47.536,es,,,,,True
180,2016-10-30 13:20:52.000,srl,3231.0,4924.0,3541.0,0.16,True
181,2016-10-30 13:20:52.530,es,,,,,True
182,2016-10-30 14:48:43.000,srl,3251.0,4939.0,3619.0,-0.11,True
183,2016-10-30 14:48:43.726,es,,,,,True
184,2016-10-30 14:49:55.000,srl,3241.0,4924.0,3560.0,0.06,True
185,2016-10-30 14:49:55.548,es,,,,,True
186,2016-10-30 14:56:38.000,srl,3246.0,4904.0,3573.0,-0.08,True
187,2016-10-30 14:56:38.550,es,,,,,True
188,2016-10-30 15:23:53.000,srl,3390.0,4923.0,3538.0,-0.25,True
189,2016-10-30 15:23:53.002,es,,,,,True
190,2016-10-30 16:19:44.946,es,,,,,True
191,2016-10-30 16:19:45.000,srl,3255.0,4996.0,3028.0,-0.16,True
192,2016-10-30 16:21:46.000,srl,3337.0,5109.0,2067.0,-0.4,True
193,2016-10-30 16:21:46.628,es,,,,,True
194,2016-10-30 17:14:47.000,srl,3321.0,4934.0,3507.0,-0.14,True
195,2016-10-30 17:14:47.346,es,,,,,True
196,2016-10-30 18:36:18.000,srl,3251.0,4949.0,3536.0,-0.14,True
197,2016-10-30 18:36:18.264,es,,,,,True
198,2016-10-30 18:36:40.000,srl,3246.0,4944.0,3566.0,-0.16,True
199,2016-10-30 18:36:40.380,es,,,,,True
200,2016-10-30 20:10:01.000,srl,3395.0,4918.0,3430.0,-0.14,True
201,2016-10-30 20:10:01.626,es,,,,,True
202,2016-10-30 21:05:51.976,es,,,,,True
203,2016-10-30 21:05:52.000,srl,3221.0,4924.0,3603.0,-0.19,True
204,2016-10-30 21:06:01.000,srl,3266.0,4954.0,3627.0,-0.17,True
205,2016-10-30 21:06:01.114,es,,,,,True
206,2016-10-30 21:06:08.000,srl,3231.0,4934.0,3593.0,-0.2,True
207,2016-10-30 21:06:08.820,es,,,,,True
208,2016-10-30 22:19:01.000,srl,3404.0,5057.0,4181.0,0.17,True
209,2016-10-30 22:19:01.264,es,,,,,True
210,2016-10-31 01:27:36.000,srl,3251.0,4954.0,3643.0,-0.16,True
211,2016-10-31 01:27:36.782,es,,,,,True
212,2016-10-31 02:00:44.000,srl,3246.0,4964.0,3599.0,-0.2,True
213,2016-10-31 02:00:44.282,es,,,,,True
214,2016-10-31 02:29:30.000,srl,3251.0,4964.0,3592.0,-0.06,True
215,2016-10-31 02:29:30.592,es,,,,,True
216,2016-10-31 02:37:58.000,srl,3326.0,4929.0,3541.0,-0.23,True
217,2016-10-31 02:37:58.756,es,,,,,True
218,2016-10-31 02:54:34.000,srl,3251.0,4929.0,3553.0,-0.15,True
219,2016-10-31 02:54:34.158,es,,,,,True
220,2016-10-31 02:55:12.000,srl,3241.0,4949.0,3549.0,-0.27,True
